step,t_years,mean,std
0,0,1435.02,0
1,0.001,1435.33,12.587
2,0.002,1435.64,18.3983
3,0.003,1435.96,22.7714
4,0.004,1436.26,26.4361
5,0.005,1436.58,29.6574
6,0.006,1436.88,32.5561
7,0.007,1437.19,35.2237
8,0.008,1437.5,37.7045
9,0.009,1437.82,40.0419
10,0.01,1438.13,42.2422
11,0.011,1438.43,44.3434
12,0.012,1438.74,46.3529
13,0.013,1439.05,48.276
14,0.014,1439.35,50.1183
15,0.015,1439.66,51.9052
16,0.016,1439.97,53.6285
17,0.017,1440.29,55.3088
18,0.018,1440.6,56.9298
19,0.019,1440.91,58.5136
20,0.02,1441.21,60.0537
21,0.021,1441.53,61.5571
22,0.022,1441.85,63.0318
23,0.023,1442.15,64.4756
24,0.024,1442.46,65.8744
25,0.025,1442.77,67.254
26,0.026,1443.08,68.5984
27,0.027,1443.39,69.9258
28,0.028,1443.69,71.2296
29,0.029,1444,72.5216
30,0.03,1444.31,73.78
31,0.031,1444.61,75.0121
32,0.032,1444.93,76.2408
33,0.033,1445.24,77.453
34,0.034,1445.55,78.6403
35,0.035,1445.85,79.8153
36,0.036,1446.16,80.9693
37,0.037,1446.47,82.111
38,0.038,1446.77,83.2359
39,0.039,1447.08,84.3489
40,0.04,1447.39,85.4454
41,0.041,1447.71,86.5323
42,0.042,1448.02,87.6036
43,0.043,1448.34,88.6612
44,0.044,1448.64,89.7084
45,0.045,1448.95,90.7518
46,0.046,1449.25,91.7765
47,0.047,1449.55,92.8012
48,0.048,1449.87,93.8083
49,0.049,1450.19,94.8046
50,0.05,1450.49,95.7958
51,0.051,1450.8,96.7713
52,0.052,1451.12,97.7421
53,0.053,1451.44,98.698
54,0.054,1451.74,99.6506
55,0.055,1452.05,100.598
56,0.056,1452.36,101.539
57,0.057,1452.68,102.472
58,0.058,1452.99,103.394
59,0.059,1453.3,104.306
60,0.06,1453.61,105.214
61,0.061,1453.92,106.11
62,0.062,1454.23,107
63,0.063,1454.54,107.88
64,0.064,1454.86,108.763
65,0.065,1455.16,109.627
66,0.066,1455.47,110.495
67,0.067,1455.79,111.349
68,0.068,1456.1,112.208
69,0.069,1456.41,113.057
70,0.07,1456.73,113.904
71,0.071,1457.05,114.742
72,0.072,1457.36,115.572
73,0.073,1457.67,116.396
74,0.074,1457.98,117.222
75,0.075,1458.29,118.037
76,0.076,1458.61,118.845
77,0.077,1458.93,119.658
78,0.078,1459.24,120.458
79,0.079,1459.56,121.257
80,0.08,1459.87,122.042
81,0.081,1460.18,122.839
82,0.082,1460.49,123.625
83,0.083,1460.81,124.41
84,0.084,1461.12,125.197
85,0.085,1461.43,125.973
86,0.086,1461.75,126.75
87,0.087,1462.06,127.519
88,0.088,1462.37,128.277
89,0.089,1462.69,129.033
90,0.09,1463,129.78
91,0.091,1463.31,130.518
92,0.092,1463.63,131.266
93,0.093,1463.94,132.01
94,0.094,1464.26,132.744
95,0.095,1464.57,133.477
96,0.096,1464.89,134.214
97,0.097,1465.2,134.949
98,0.098,1465.52,135.682
99,0.099,1465.83,136.397
100,0.1,1466.14,137.104
101,0.101,1466.46,137.818
102,0.102,1466.77,138.535
103,0.103,1467.08,139.246
104,0.104,1467.39,139.956
105,0.105,1467.71,140.669
106,0.106,1468.02,141.376
107,0.107,1468.34,142.072
108,0.108,1468.65,142.766
109,0.109,1468.97,143.455
110,0.11,1469.28,144.134
111,0.111,1469.59,144.819
112,0.112,1469.9,145.507
113,0.113,1470.22,146.192
114,0.114,1470.53,146.869
115,0.115,1470.85,147.552
116,0.116,1471.17,148.235
117,0.117,1471.49,148.911
118,0.118,1471.81,149.582
119,0.119,1472.13,150.258
120,0.12,1472.45,150.916
121,0.121,1472.76,151.575
122,0.122,1473.09,152.24
123,0.123,1473.4,152.897
124,0.124,1473.71,153.551
125,0.125,1474.03,154.205
126,0.126,1474.34,154.865
127,0.127,1474.66,155.521
128,0.128,1474.98,156.177
129,0.129,1475.29,156.825
130,0.13,1475.6,157.468
131,0.131,1475.91,158.105
132,0.132,1476.23,158.749
133,0.133,1476.54,159.386
134,0.134,1476.86,160.02
135,0.135,1477.17,160.657
136,0.136,1477.49,161.285
137,0.137,1477.81,161.906
138,0.138,1478.13,162.535
139,0.139,1478.44,163.157
140,0.14,1478.75,163.773
141,0.141,1479.08,164.39
142,0.142,1479.39,165.022
143,0.143,1479.71,165.638
144,0.144,1480.02,166.26
145,0.145,1480.34,166.87
146,0.146,1480.66,167.486
147,0.147,1480.98,168.106
148,0.148,1481.3,168.717
149,0.149,1481.62,169.324
150,0.15,1481.94,169.934
151,0.151,1482.26,170.548
152,0.152,1482.58,171.158
153,0.153,1482.9,171.755
154,0.154,1483.22,172.348
155,0.155,1483.53,172.943
156,0.156,1483.85,173.542
157,0.157,1484.17,174.133
158,0.158,1484.48,174.727
159,0.159,1484.8,175.315
160,0.16,1485.12,175.906
161,0.161,1485.45,176.502
162,0.162,1485.77,177.088
163,0.163,1486.09,177.674
164,0.164,1486.41,178.259
165,0.165,1486.72,178.836
166,0.166,1487.04,179.416
167,0.167,1487.36,179.991
168,0.168,1487.68,180.57
169,0.169,1487.99,181.149
170,0.17,1488.31,181.727
171,0.171,1488.64,182.304
172,0.172,1488.96,182.878
173,0.173,1489.28,183.454
174,0.174,1489.6,184.037
175,0.175,1489.93,184.604
176,0.176,1490.25,185.177
177,0.177,1490.57,185.748
178,0.178,1490.9,186.321
179,0.179,1491.22,186.897
180,0.18,1491.54,187.453
181,0.181,1491.85,188.016
182,0.182,1492.17,188.58
183,0.183,1492.5,189.151
184,0.184,1492.83,189.715
185,0.185,1493.15,190.268
186,0.186,1493.47,190.825
187,0.187,1493.79,191.382
188,0.188,1494.11,191.928
189,0.189,1494.43,192.475
190,0.19,1494.75,193.026
191,0.191,1495.07,193.58
192,0.192,1495.38,194.127
193,0.193,1495.7,194.677
194,0.194,1496.03,195.229
195,0.195,1496.35,195.78
196,0.196,1496.67,196.325
197,0.197,1496.99,196.873
198,0.198,1497.31,197.415
199,0.199,1497.63,197.96
200,0.2,1497.95,198.507
201,0.201,1498.26,199.037
202,0.202,1498.59,199.583
203,0.203,1498.91,200.116
204,0.204,1499.23,200.658
205,0.205,1499.54,201.195
206,0.206,1499.87,201.74
207,0.207,1500.18,202.275
208,0.208,1500.51,202.813
209,0.209,1500.84,203.347
210,0.21,1501.16,203.885
211,0.211,1501.47,204.417
212,0.212,1501.79,204.954
213,0.213,1502.11,205.483
214,0.214,1502.43,206.018
215,0.215,1502.76,206.547
216,0.216,1503.08,207.082
217,0.217,1503.4,207.602
218,0.218,1503.73,208.126
219,0.219,1504.05,208.647
220,0.22,1504.37,209.177
221,0.221,1504.69,209.702
222,0.222,1505.01,210.232
223,0.223,1505.34,210.764
224,0.224,1505.66,211.29
225,0.225,1505.99,211.815
