step,t_years,mean,std
0,0,1435,0
1,0.001,1435.31,13.4064
2,0.002,1435.62,18.9655
3,0.003,1435.93,23.2318
4,0.004,1436.23,26.8325
5,0.005,1436.54,30.0073
6,0.006,1436.84,32.8797
7,0.007,1437.15,35.5188
8,0.008,1437.45,37.981
9,0.009,1437.76,40.301
10,0.01,1438.06,42.4954
11,0.011,1438.37,44.5792
12,0.012,1438.68,46.5662
13,0.013,1438.99,48.4773
14,0.014,1439.31,50.3127
15,0.015,1439.61,52.0885
16,0.016,1439.91,53.81
17,0.017,1440.22,55.4829
18,0.018,1440.53,57.1092
19,0.019,1440.84,58.6889
20,0.02,1441.15,60.2284
21,0.021,1441.46,61.7281
22,0.022,1441.77,63.1995
23,0.023,1442.08,64.6402
24,0.024,1442.38,66.0438
25,0.025,1442.69,67.4221
26,0.026,1443,68.774
27,0.027,1443.3,70.0927
28,0.028,1443.61,71.3918
29,0.029,1443.92,72.6689
30,0.03,1444.22,73.9213
31,0.031,1444.53,75.1692
32,0.032,1444.85,76.39
33,0.033,1445.16,77.5977
34,0.034,1445.47,78.7794
35,0.035,1445.79,79.9463
36,0.036,1446.09,81.0872
37,0.037,1446.4,82.2277
38,0.038,1446.71,83.3534
39,0.039,1447.02,84.4636
40,0.04,1447.34,85.5574
41,0.041,1447.64,86.6443
42,0.042,1447.95,87.7116
43,0.043,1448.26,88.7675
44,0.044,1448.56,89.8208
45,0.045,1448.87,90.8582
46,0.046,1449.18,91.884
47,0.047,1449.49,92.9066
48,0.048,1449.8,93.907
49,0.049,1450.11,94.9057
50,0.05,1450.42,95.8942
51,0.051,1450.74,96.8709
52,0.052,1451.05,97.8304
53,0.053,1451.36,98.7873
54,0.054,1451.66,99.7392
55,0.055,1451.98,100.688
56,0.056,1452.3,101.62
57,0.057,1452.6,102.55
58,0.058,1452.91,103.472
59,0.059,1453.23,104.389
60,0.06,1453.54,105.296
61,0.061,1453.85,106.195
62,0.062,1454.16,107.086
63,0.063,1454.48,107.974
64,0.064,1454.79,108.855
65,0.065,1455.11,109.729
66,0.066,1455.41,110.599
67,0.067,1455.72,111.453
68,0.068,1456.02,112.307
69,0.069,1456.33,113.153
70,0.07,1456.64,114
71,0.071,1456.96,114.84
72,0.072,1457.27,115.671
73,0.073,1457.58,116.503
74,0.074,1457.89,117.329
75,0.075,1458.19,118.143
76,0.076,1458.5,118.951
77,0.077,1458.82,119.757
78,0.078,1459.13,120.558
79,0.079,1459.45,121.365
80,0.08,1459.77,122.159
81,0.081,1460.09,122.951
82,0.082,1460.4,123.733
83,0.083,1460.71,124.516
84,0.084,1461.02,125.284
85,0.085,1461.33,126.059
86,0.086,1461.64,126.834
87,0.087,1461.96,127.599
88,0.088,1462.27,128.361
89,0.089,1462.58,129.126
90,0.09,1462.89,129.884
91,0.091,1463.21,130.631
92,0.092,1463.52,131.379
93,0.093,1463.84,132.125
94,0.094,1464.14,132.865
95,0.095,1464.44,133.591
96,0.096,1464.76,134.328
97,0.097,1465.07,135.056
98,0.098,1465.38,135.776
99,0.099,1465.7,136.491
100,0.1,1466,137.219
101,0.101,1466.32,137.938
102,0.102,1466.63,138.64
103,0.103,1466.94,139.347
104,0.104,1467.26,140.055
105,0.105,1467.59,140.761
106,0.106,1467.9,141.468
107,0.107,1468.22,142.175
108,0.108,1468.52,142.868
109,0.109,1468.83,143.554
110,0.11,1469.14,144.242
111,0.111,1469.45,144.928
112,0.112,1469.77,145.614
113,0.113,1470.1,146.3
114,0.114,1470.41,146.981
115,0.115,1470.72,147.658
116,0.116,1471.03,148.336
117,0.117,1471.34,149.013
118,0.118,1471.65,149.68
119,0.119,1471.97,150.343
120,0.12,1472.29,151.005
121,0.121,1472.61,151.671
122,0.122,1472.93,152.332
123,0.123,1473.25,152.997
124,0.124,1473.57,153.654
125,0.125,1473.88,154.302
126,0.126,1474.2,154.959
127,0.127,1474.51,155.614
128,0.128,1474.83,156.268
129,0.129,1475.14,156.912
130,0.13,1475.45,157.549
131,0.131,1475.78,158.188
132,0.132,1476.1,158.829
133,0.133,1476.41,159.466
134,0.134,1476.73,160.099
135,0.135,1477.05,160.736
136,0.136,1477.36,161.368
137,0.137,1477.68,161.998
138,0.138,1478,162.629
139,0.139,1478.31,163.249
140,0.14,1478.63,163.878
141,0.141,1478.94,164.502
142,0.142,1479.26,165.127
143,0.143,1479.57,165.751
144,0.144,1479.89,166.37
145,0.145,1480.2,166.988
146,0.146,1480.51,167.593
147,0.147,1480.83,168.199
148,0.148,1481.14,168.809
149,0.149,1481.45,169.423
150,0.15,1481.77,170.033
151,0.151,1482.09,170.637
152,0.152,1482.4,171.244
153,0.153,1482.72,171.851
154,0.154,1483.03,172.456
155,0.155,1483.35,173.056
156,0.156,1483.67,173.664
157,0.157,1484,174.27
158,0.158,1484.31,174.873
159,0.159,1484.64,175.466
160,0.16,1484.95,176.058
161,0.161,1485.27,176.644
162,0.162,1485.59,177.231
163,0.163,1485.91,177.823
164,0.164,1486.24,178.407
165,0.165,1486.55,178.99
166,0.166,1486.87,179.571
167,0.167,1487.18,180.157
168,0.168,1487.51,180.729
169,0.169,1487.83,181.312
170,0.17,1488.14,181.892
171,0.171,1488.45,182.466
172,0.172,1488.77,183.041
173,0.173,1489.09,183.622
174,0.174,1489.42,184.196
175,0.175,1489.73,184.769
176,0.176,1490.05,185.34
177,0.177,1490.37,185.915
178,0.178,1490.69,186.489
179,0.179,1491.01,187.054
180,0.18,1491.33,187.619
181,0.181,1491.65,188.189
182,0.182,1491.96,188.744
183,0.183,1492.29,189.307
184,0.184,1492.61,189.868
185,0.185,1492.93,190.426
186,0.186,1493.24,190.985
187,0.187,1493.56,191.539
188,0.188,1493.88,192.097
189,0.189,1494.19,192.644
190,0.19,1494.51,193.196
191,0.191,1494.83,193.751
192,0.192,1495.16,194.302
193,0.193,1495.47,194.852
194,0.194,1495.79,195.402
195,0.195,1496.11,195.954
196,0.196,1496.43,196.497
197,0.197,1496.75,197.044
198,0.198,1497.07,197.593
199,0.199,1497.4,198.139
200,0.2,1497.71,198.686
201,0.201,1498.04,199.232
202,0.202,1498.36,199.772
203,0.203,1498.68,200.32
204,0.204,1499,200.863
205,0.205,1499.32,201.398
206,0.206,1499.64,201.938
207,0.207,1499.96,202.477
208,0.208,1500.28,203.015
209,0.209,1500.6,203.558
210,0.21,1500.92,204.09
211,0.211,1501.24,204.626
212,0.212,1501.56,205.147
213,0.213,1501.89,205.681
214,0.214,1502.21,206.207
215,0.215,1502.52,206.74
216,0.216,1502.84,207.267
217,0.217,1503.16,207.795
218,0.218,1503.49,208.321
219,0.219,1503.82,208.848
220,0.22,1504.14,209.373
221,0.221,1504.47,209.901
222,0.222,1504.79,210.425
223,0.223,1505.12,210.945
224,0.224,1505.44,211.473
225,0.225,1505.77,211.997
226,0.226,1506.09,212.513
227,0.227,1506.41,213.028
228,0.228,1506.73,213.555
229,0.229,1507.06,214.074
230,0.23,1507.37,214.592
231,0.231,1507.7,215.111
232,0.232,1508.02,215.621
233,0.233,1508.34,216.143
234,0.234,1508.66,216.66
235,0.235,1508.99,217.17
236,0.236,1509.3,217.686
237,0.237,1509.63,218.205
238,0.238,1509.95,218.715
239,0.239,1510.27,219.223
240,0.24,1510.59,219.736
241,0.241,1510.91,220.25
242,0.242,1511.24,220.766
243,0.243,1511.56,221.274
244,0.244,1511.89,221.788
245,0.245,1512.21,222.294
246,0.246,1512.53,222.801
247,0.247,1512.85,223.305
248,0.248,1513.17,223.81
249,0.249,1513.49,224.312
250,0.25,1513.81,224.82
251,0.251,1514.13,225.326
252,0.252,1514.46,225.832
253,0.253,1514.79,226.33
254,0.254,1515.11,226.833
255,0.255,1515.44,227.338
256,0.256,1515.76,227.84
257,0.257,1516.09,228.33
258,0.258,1516.42,228.824
259,0.259,1516.75,229.325
260,0.26,1517.07,229.829
261,0.261,1517.38,230.315
262,0.262,1517.71,230.808
263,0.263,1518.03,231.299
264,0.264,1518.36,231.796
265,0.265,1518.69,232.291
266,0.266,1519.02,232.794
267,0.267,1519.35,233.288
268,0.268,1519.67,233.791
269,0.269,1520,234.28
270,0.27,1520.33,234.772
271,0.271,1520.65,235.263
272,0.272,1520.98,235.765
273,0.273,1521.3,236.241
274,0.274,1521.62,236.727
275,0.275,1521.95,237.214
276,0.276,1522.29,237.706
277,0.277,1522.61,238.189
278,0.278,1522.94,238.669
279,0.279,1523.28,239.159
280,0.28,1523.6,239.649
281,0.281,1523.93,240.132
282,0.282,1524.26,240.615
283,0.283,1524.57,241.095
284,0.284,1524.9,241.584
285,0.285,1525.23,242.064
286,0.286,1525.55,242.539
287,0.287,1525.87,243.019
288,0.288,1526.2,243.492
289,0.289,1526.53,243.977
290,0.29,1526.85,244.453
291,0.291,1527.17,244.931
292,0.292,1527.49,245.417
293,0.293,1527.82,245.895
294,0.294,1528.15,246.368
295,0.295,1528.48,246.843
296,0.296,1528.81,247.318
297,0.297,1529.14,247.793
298,0.298,1529.47,248.268
299,0.299,1529.8,248.743
300,0.3,1530.14,249.219
301,0.301,1530.47,249.707
302,0.302,1530.8,250.179
303,0.303,1531.12,250.652
304,0.304,1531.46,251.134
305,0.305,1531.79,251.602
306,0.306,1532.12,252.079
307,0.307,1532.45,252.547
308,0.308,1532.77,253.01
309,0.309,1533.11,253.488
310,0.31,1533.43,253.947
311,0.311,1533.76,254.409
312,0.312,1534.08,254.882
313,0.313,1534.41,255.356
314,0.314,1534.75,255.823
315,0.315,1535.07,256.28
316,0.316,1535.4,256.746
317,0.317,1535.74,257.212
318,0.318,1536.07,257.676
319,0.319,1536.39,258.143
320,0.32,1536.72,258.612
321,0.321,1537.04,259.071
322,0.322,1537.37,259.532
323,0.323,1537.7,259.991
324,0.324,1538.03,260.452
325,0.325,1538.35,260.921
326,0.326,1538.68,261.386
327,0.327,1539.01,261.854
328,0.328,1539.35,262.328
329,0.329,1539.68,262.795
330,0.33,1540.01,263.263
331,0.331,1540.33,263.726
332,0.332,1540.66,264.177
333,0.333,1540.98,264.644
334,0.334,1541.32,265.109
335,0.335,1541.64,265.566
336,0.336,1541.97,266.021
